@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
97,2543,0,35266,20438,0.633096,1,0.067259,1,0.932741,0.126041,0.649115,1.540559,0
98,2543,0,35265,20439,0.633078,1,0.067261,1,0.932739,0.126044,0.649098,1.5406,0
99,2543,0,35264,20440,0.63306,1,0.067263,1,0.932737,0.126047,0.649081,1.540641,0
100,2543,0,35263,20441,0.633043,1,0.067264,1,0.932736,0.12605,0.649063,1.540681,0
101,2543,0,35262,20442,0.633025,1,0.067266,1,0.932734,0.126053,0.649046,1.540722,0
102,2543,0,35261,20443,0.633007,1,0.067268,1,0.932732,0.126056,0.649029,1.540763,0
103,2543,0,35260,20444,0.632989,1,0.06727,1,0.93273,0.12606,0.649012,1.540804,0
104,2543,0,35259,20445,0.632971,1,0.067272,1,0.932728,0.126063,0.648995,1.540844,0
105,2543,0,35258,20446,0.632953,1,0.067273,1,0.932727,0.126066,0.648978,1.540885,0
106,2543,0,35257,20447,0.632935,1,0.067275,1,0.932725,0.126069,0.64896,1.540926,0
107,2543,0,35256,20448,0.632917,1,0.067277,1,0.932723,0.126072,0.648943,1.540967,0
108,2543,0,35255,20449,0.632899,1,0.067279,1,0.932721,0.126075,0.648926,1.541007,0
109,2543,0,35254,20450,0.632881,1,0.06728,1,0.93272,0.126078,0.648909,1.541048,0
110,2543,0,35253,20451,0.632863,1,0.067282,1,0.932718,0.126081,0.648892,1.541089,0
111,2543,0,35252,20452,0.632845,1,0.067284,1,0.932716,0.126085,0.648875,1.54113,0
112,2543,0,35251,20453,0.632827,1,0.067286,1,0.932714,0.126088,0.648857,1.541171,0
113,2543,0,35250,20454,0.632809,1,0.067288,1,0.932712,0.126091,0.64884,1.541211,0
114,2543,0,35249,20455,0.632791,1,0.067289,1,0.932711,0.126094,0.648823,1.541252,0
115,2543,0,35248,20456,0.632773,1,0.067291,1,0.932709,0.126097,0.648806,1.541293,0
116,2543,0,35247,20457,0.632755,1,0.067293,1,0.932707,0.1261,0.648789,1.541334,0
117,2543,0,35246,20458,0.632737,1,0.067295,1,0.932705,0.126103,0.648772,1.541374,0
118,2543,0,35245,20459,0.632719,1,0.067296,1,0.932704,0.126106,0.648754,1.541415,0
119,2543,0,35244,20460,0.632701,1,0.067298,1,0.932702,0.12611,0.648737,1.541456,0
120,2543,0,35243,20461,0.632683,1,0.0673,1,0.9327,0.126113,0.64872,1.541497,0
121,2543,0,35242,20462,0.632666,1,0.067302,1,0.932698,0.126116,0.648703,1.541538,0
122,2543,0,35241,20463,0.632648,1,0.067304,1,0.932696,0.126119,0.648686,1.541578,0
123,2543,0,35240,20464,0.63263,1,0.067305,1,0.932695,0.126122,0.648669,1.541619,0
124,2543,0,35239,20465,0.632612,1,0.067307,1,0.932693,0.126125,0.648651,1.54166,0
125,2543,0,35238,20466,0.632594,1,0.067309,1,0.932691,0.126128,0.648634,1.541701,0
126,2543,0,35237,20467,0.632576,1,0.067311,1,0.932689,0.126131,0.648617,1.541742,0
127,2543,0,35236,20468,0.632558,1,0.067313,1,0.932687,0.126135,0.6486,1.541782,0
128,2543,0,35235,20469,0.63254,1,0.067314,1,0.932686,0.126138,0.648583,1.541823,0
129,2543,0,35234,20470,0.632522,1,0.067316,1,0.932684,0.126141,0.648566,1.541864,0
130,2543,0,35233,20471,0.632504,1,0.067318,1,0.932682,0.126144,0.648548,1.541905,0
131,2543,0,35232,20472,0.632486,1,0.06732,1,0.93268,0.126147,0.648531,1.541946,0
132,2543,0,35231,20473,0.632468,1,0.067321,1,0.932679,0.12615,0.648514,1.541987,0
133,2543,0,35230,20474,0.63245,1,0.067323,1,0.932677,0.126153,0.648497,1.542027,0
134,2543,0,35229,20475,0.632432,1,0.067325,1,0.932675,0.126157,0.64848,1.542068,0
135,2543,0,35228,20476,0.632414,1,0.067327,1,0.932673,0.12616,0.648463,1.542109,0
136,2543,0,35227,20477,0.632396,1,0.067329,1,0.932671,0.126163,0.648445,1.54215,0
137,2543,0,35226,20478,0.632378,1,0.06733,1,0.93267,0.126166,0.648428,1.542191,0
138,2543,0,35225,20479,0.63236,1,0.067332,1,0.932668,0.126169,0.648411,1.542232,0
139,2543,0,35224,20480,0.632342,1,0.067334,1,0.932666,0.126172,0.648394,1.542272,0
140,2543,0,35223,20481,0.632324,1,0.067336,1,0.932664,0.126175,0.648377,1.542313,0
141,2543,0,35222,20482,0.632306,1,0.067337,1,0.932663,0.126178,0.64836,1.542354,0
142,2543,0,35221,20483,0.632289,1,0.067339,1,0.932661,0.126182,0.648342,1.542395,0
143,2543,0,35220,20484,0.632271,1,0.067341,1,0.932659,0.126185,0.648325,1.542436,0
144,2543,0,35219,20485,0.632253,1,0.067343,1,0.932657,0.126188,0.648308,1.542477,0
145,2543,0,35218,20486,0.632235,1,0.067345,1,0.932655,0.126191,0.648291,1.542517,0
146,2543,0,35217,20487,0.632217,1,0.067346,1,0.932654,0.126194,0.648274,1.542558,0
147,2543,0,35216,20488,0.632199,1,0.067348,1,0.932652,0.126197,0.648257,1.542599,0
148,2543,0,35215,20489,0.632181,1,0.06735,1,0.93265,0.1262,0.648239,1.54264,0
149,2543,0,35214,20490,0.632163,1,0.067352,1,0.932648,0.126203,0.648222,1.542681,0
150,2543,0,35213,20491,0.632145,1,0.067354,1,0.932646,0.126207,0.648205,1.542722,0
151,2543,0,35212,20492,0.632127,1,0.067355,1,0.932645,0.12621,0.648188,1.542763,0
152,2543,0,35211,20493,0.632109,1,0.067357,1,0.932643,0.126213,0.648171,1.542803,0
153,2543,0,35210,20494,0.632091,1,0.067359,1,0.932641,0.126216,0.648154,1.542844,0
154,2543,0,35209,20495,0.632073,1,0.067361,1,0.932639,0.126219,0.648136,1.542885,0
155,2543,0,35208,20496,0.632055,1,0.067362,1,0.932638,0.126222,0.648119,1.542926,0
156,2543,0,35207,20497,0.632037,1,0.067364,1,0.932636,0.126225,0.648102,1.542967,0
157,2543,0,35206,20498,0.632019,1,0.067366,1,0.932634,0.126229,0.648085,1.543008,0
158,2543,0,35205,20499,0.632001,1,0.067368,1,0.932632,0.126232,0.648068,1.543049,0
159,2543,0,35204,20500,0.631983,1,0.06737,1,0.93263,0.126235,0.648051,1.54309,0
160,2543,0,35203,20501,0.631965,1,0.067371,1,0.932629,0.126238,0.648033,1.54313,0
161,2543,0,35202,20502,0.631947,1,0.067373,1,0.932627,0.126241,0.648016,1.543171,0
162,2543,0,35201,20503,0.631929,1,0.067375,1,0.932625,0.126244,0.647999,1.543212,0
163,2543,0,35200,20504,0.631912,1,0.067377,1,0.932623,0.126247,0.647982,1.543253,0
164,2543,0,35199,20505,0.631894,1,0.067379,1,0.932621,0.12625,0.647965,1.543294,0
165,2543,0,35198,20506,0.631876,1,0.06738,1,0.93262,0.126254,0.647948,1.543335,0
166,2543,0,35197,20507,0.631858,1,0.067382,1,0.932618,0.126257,0.64793,1.543376,0
167,2543,0,35196,20508,0.63184,1,0.067384,1,0.932616,0.12626,0.647913,1.543417,0
168,2543,0,35195,20509,0.631822,1,0.067386,1,0.932614,0.126263,0.647896,1.543458,0
169,2543,0,35194,20510,0.631804,1,0.067387,1,0.932613,0.126266,0.647879,1.543498,0
170,2543,0,35193,20511,0.631786,1,0.067389,1,0.932611,0.126269,0.647862,1.543539,0
171,2543,0,35192,20512,0.631768,1,0.067391,1,0.932609,0.126272,0.647845,1.54358,0
172,2543,0,35191,20513,0.63175,1,0.067393,1,0.932607,0.126276,0.647827,1.543621,0
173,2543,0,35190,20514,0.631732,1,0.067395,1,0.932605,0.126279,0.64781,1.543662,0
174,2543,0,35189,20515,0.631714,1,0.067396,1,0.932604,0.126282,0.647793,1.543703,0
175,2543,0,35188,20516,0.631696,1,0.067398,1,0.932602,0.126285,0.647776,1.543744,0
176,2543,0,35187,20517,0.631678,1,0.0674,1,0.9326,0.126288,0.647759,1.543785,0
177,2543,0,35186,20518,0.63166,1,0.067402,1,0.932598,0.126291,0.647742,1.543826,0
178,2543,0,35185,20519,0.631642,1,0.067404,1,0.932596,0.126294,0.647724,1.543867,0
179,2543,0,35184,20520,0.631624,1,0.067405,1,0.932595,0.126297,0.647707,1.543908,0
180,2543,0,35183,20521,0.631606,1,0.067407,1,0.932593,0.126301,0.64769,1.543948,0
181,2543,0,35182,20522,0.631588,1,0.067409,1,0.932591,0.126304,0.647673,1.543989,0
182,2543,0,35181,20523,0.63157,1,0.067411,1,0.932589,0.126307,0.647656,1.54403,0
183,2543,0,35180,20524,0.631552,1,0.067412,1,0.932588,0.12631,0.647639,1.544071,0
184,2543,0,35179,20525,0.631535,1,0.067414,1,0.932586,0.126313,0.647621,1.544112,0
185,2543,0,35178,20526,0.631517,1,0.067416,1,0.932584,0.126316,0.647604,1.544153,0
186,2543,0,35177,20527,0.631499,1,0.067418,1,0.932582,0.126319,0.647587,1.544194,0
187,2543,0,35176,20528,0.631481,1,0.06742,1,0.93258,0.126323,0.64757,1.544235,0
188,2543,0,35175,20529,0.631463,1,0.067421,1,0.932579,0.126326,0.647553,1.544276,0
189,2543,0,35174,20530,0.631445,1,0.067423,1,0.932577,0.126329,0.647535,1.544317,0
190,2543,0,35173,20531,0.631427,1,0.067425,1,0.932575,0.126332,0.647518,1.544358,0
191,2543,0,35172,20532,0.631409,1,0.067427,1,0.932573,0.126335,0.647501,1.544399,0
192,2543,0,35171,20533,0.631391,1,0.067429,1,0.932571,0.126338,0.647484,1.54444,0
193,2543,0,35170,20534,0.631373,1,0.06743,1,0.93257,0.126341,0.647467,1.544481,0
194,2543,0,35169,20535,0.631355,1,0.067432,1,0.932568,0.126345,0.64745,1.544522,0
195,2543,0,35168,20536,0.631337,1,0.067434,1,0.932566,0.126348,0.647432,1.544563,0
196,2543,0,35167,20537,0.631319,1,0.067436,1,0.932564,0.126351,0.647415,1.544604,0
197,2543,0,35166,20538,0.631301,1,0.067437,1,0.932563,0.126354,0.647398,1.544645,0
198,2543,0,35165,20539,0.631283,1,0.067439,1,0.932561,0.126357,0.647381,1.544685,0
199,2543,0,35164,20540,0.631265,1,0.067441,1,0.932559,0.12636,0.647364,1.544726,0
200,2543,0,35163,20541,0.631247,1,0.067443,1,0.932557,0.126363,0.647347,1.544767,0
201,2543,0,35162,20542,0.631229,1,0.067445,1,0.932555,0.126367,0.647329,1.544808,0
202,2543,0,35161,20543,0.631211,1,0.067446,1,0.932554,0.12637,0.647312,1.544849,0
203,2543,0,35160,20544,0.631193,1,0.067448,1,0.932552,0.126373,0.647295,1.54489,0
204,2543,0,35159,20545,0.631175,1,0.06745,1,0.93255,0.126376,0.647278,1.544931,0
205,2543,0,35158,20546,0.631158,1,0.067452,1,0.932548,0.126379,0.647261,1.544972,0
206,2543,0,35157,20547,0.63114,1,0.067454,1,0.932546,0.126382,0.647244,1.545013,0
207,2543,0,35156,20548,0.631122,1,0.067455,1,0.932545,0.126385,0.647226,1.545054,0
208,2543,0,35155,20549,0.631104,1,0.067457,1,0.932543,0.126389,0.647209,1.545095,0
209,2543,0,35154,20550,0.631086,1,0.067459,1,0.932541,0.126392,0.647192,1.545136,0
210,2543,0,35153,20551,0.631068,1,0.067461,1,0.932539,0.126395,0.647175,1.545177,0
211,2543,0,35152,20552,0.63105,1,0.067463,1,0.932537,0.126398,0.647158,1.545218,0
212,2543,0,35151,20553,0.631032,1,0.067464,1,0.932536,0.126401,0.647141,1.545259,0
213,2543,0,35150,20554,0.631014,1,0.067466,1,0.932534,0.126404,0.647123,1.5453,0
214,2543,0,35149,20555,0.630996,1,0.067468,1,0.932532,0.126407,0.647106,1.545341,0
215,2543,0,35148,20556,0.630978,1,0.06747,1,0.93253,0.12641,0.647089,1.545382,0
216,2543,0,35147,20557,0.63096,1,0.067471,1,0.932529,0.126414,0.647072,1.545423,0
217,2543,0,35146,20558,0.630942,1,0.067473,1,0.932527,0.126417,0.647055,1.545464,0
218,2543,0,35145,20559,0.630924,1,0.067475,1,0.932525,0.12642,0.647038,1.545505,0
219,2543,0,35144,20560,0.630906,1,0.067477,1,0.932523,0.126423,0.64702,1.545546,0
220,2543,0,35143,20561,0.630888,1,0.067479,1,0.932521,0.126426,0.647003,1.545587,0
221,2543,0,35142,20562,0.63087,1,0.06748,1,0.93252,0.126429,0.646986,1.545628,0
222,2543,0,35141,20563,0.630852,1,0.067482,1,0.932518,0.126432,0.646969,1.545669,0
223,2543,0,35140,20564,0.630834,1,0.067484,1,0.932516,0.126436,0.646952,1.54571,0
224,2543,0,35139,20565,0.630816,1,0.067486,1,0.932514,0.126439,0.646935,1.545751,0
225,2543,0,35138,20566,0.630799,1,0.067488,1,0.932512,0.126442,0.646917,1.545792,0
226,2543,0,35137,20567,0.630781,1,0.067489,1,0.932511,0.126445,0.6469,1.545833,0
227,2543,0,35136,20568,0.630763,1,0.067491,1,0.932509,0.126448,0.646883,1.545874,0
228,2543,0,35135,20569,0.630745,1,0.067493,1,0.932507,0.126451,0.646866,1.545915,0
229,2543,0,35134,20570,0.630727,1,0.067495,1,0.932505,0.126455,0.646849,1.545956,0
230,2543,0,35133,20571,0.630709,1,0.067497,1,0.932503,0.126458,0.646832,1.545997,0
231,2543,0,35132,20572,0.630691,1,0.067498,1,0.932502,0.126461,0.646814,1.546038,0
232,2543,0,35131,20573,0.630673,1,0.0675,1,0.9325,0.126464,0.646797,1.54608,0
233,2543,0,35130,20574,0.630655,1,0.067502,1,0.932498,0.126467,0.64678,1.546121,0
234,2543,0,35129,20575,0.630637,1,0.067504,1,0.932496,0.12647,0.646763,1.546162,0
